"Quantity","RefDes","Value","Name"
"3","C1, C2, C4","22u","CPOL-USC (CPOL-US)"
"10","C3, C5, C8, C9, C10, C12, C16, C18, C21, C24","100n","C-USC0603 (C-US)"
"4","C6, C7, C17, C23","18p","C-USC0603 (C-US)"
"2","C11, C22","470n","C-USC0603 (C-US)"
"1","C13","3.3u","C-USC0603 (C-US)"
"4","C14, C15, C19, C20","220p","C-USC0603 (C-US)"
"1","D3","","MB1S"
"1","IC1","LM1117-3.3","REG1117"
"1","IC2","LM4040B25","LM4041DBZB12 (LM4041)"
"1","IC3","","DAC8552"
"2","IC4, IC5","OPA2171","TL072D (TL072)"
"1","IC6","LM4040B10","LM4041DBZB12 (LM4041)"
"4","J1, J2, J3, J4","","PJ301_THONKICONN6 (PJ301_THONKICONN)"
"1","JP2","","M05X2MINIJTAG (M05X2)"
"1","JP3","","M05X2PTH (M05X2)"
"1","L1","","WE-CBF_0603 (WE-CBF)"
"7","LED1, LED2, LED3, LED4, LED5, LED6, LED7","","LED3MM (LED)"
"1","Q1","8MHz","TXC 7A crystal"
"2","Q2, Q3","MMBT3904","-NPN-MMBT3904LT1SOT23-BEC (*-NPN-)"
"4","R1, R5, R11, R21","","9mm Alpha/Bourns Pot"
"5","R2, R4, R6, R7, R8","100","R-US_R0603 (R-US_)"
"4","R3, R13, R16, R28","10k","R-US_R0603 (R-US_)"
"2","R9, R25","3.3k","R-US_R0603 (R-US_)"
"2","R10, R23","33","R-US_R0603 (R-US_)"
"6","R12, R14, R17, R22, R24, R26","39k","R-US_R0603 (R-US_)"
"2","R15, R27","100k","R-US_R0603 (R-US_)"
"2","R18, R29","249k","R-US_R0603 (R-US_)"
"2","R19, R30","309k","R-US_R0603 (R-US_)"
"2","R20, R31","1.0k","R-US_R0603 (R-US_)"
"4","SW1, SW2, SW4, SW6","","TAC_SWITCHPTH (TAC_SWITCH)"
"1","UC1","STM32F103CBT6","STM32F103CB"
"84","","",""
